,Customer_ID,Churn_Probability
0,7590-VHVEG,0.8588984517382725
1,5575-GNVDE,0.17950398149749058
2,7795-CFOCW,0.23887900518231794
3,1452-KIOVK,0.44999494274566143
4,6713-OKOMC,0.3441986498977808
5,6388-TABGU,0.22490992341637162
6,9763-GRSKD,0.28671775101039376
7,7469-LKBCI,0.037750671829830135
8,8091-TTVAX,0.5524672875945515
9,5129-JLPIS,0.7972607342848506
10,3655-SNQYZ,0.09274832604306082
11,8191-XWSZG,0.1461801732784189
12,9959-WOFKT,0.19300312579916862
13,4183-MYFRB,0.8332539629446373
14,1680-VDCWW,0.28548930335339934
15,3638-WEABW,0.06732610657173663
16,6322-HRPFA,0.07456713826185948
17,6865-JZNKO,0.38448442662394144
18,5248-YGIJN,0.056921450629092214
19,3841-NFECX,0.0970316205917975
20,4929-XIHVW,0.8430180493353782
21,6827-IEAUQ,0.19185681487428524
22,7310-EGVHZ,0.5098024754583234
23,3413-BMNZE,0.7630232830577919
24,6234-RAAPL,0.04384013123009537
25,6572-ADKRS,0.5681818181818181
26,8865-TNMNX,0.29199278326771594
27,9489-DEDVP,0.05326494958256831
28,9867-JCZSP,0.16586728792372088
29,4671-VJLCL,0.06767419062595663
30,4080-IIARD,0.44165378575930003
31,3714-NTNFO,0.706288101801561
32,5948-UJZLF,0.7630232830577919
33,7639-LIAYI,0.0923149441379259
34,2954-PIBKO,0.07587303180970607
35,8012-SOUDQ,0.6464808000767428
36,6575-SUVOI,0.362966949136867
37,4667-QONEA,0.22810666342958735
38,8769-KKTPH,0.35352662856944655
39,5067-XJQFU,0.41018397919833305
40,3957-SQXML,0.050228983401140084
41,5954-BDFSG,0.07249824680260346
42,0434-CSFON,0.7415582741813138
43,1215-FIGMP,0.5681818181818181
44,0526-SXDJP,0.08264691513474663
45,0557-ASKVU,0.3203721067603292
46,5122-CYFXA,0.6238409485040572
47,8627-ZYGSZ,0.44458530245911065
48,3410-YOQBQ,0.048963279350873724
49,3170-NMYVV,0.026419459591616276
50,7410-OIEDU,0.695332951390111
51,2273-QCKXA,0.7337836671772873
52,0731-EBJQB,0.18827676203976876
53,1891-QRQSA,0.2042298075245423
54,8028-PNXHQ,0.023845295925414758
55,5630-AHZIL,0.6284572931145181
56,2673-CXQEU,0.5626796902442384
57,6416-JNVRK,0.30756077339063026
58,5590-ZSKRV,0.131832753067775
59,0191-ZHSKZ,0.49148478234110793
60,3887-PBQAO,0.14645735003552213
61,8108-UXRQN,0.5202899581114183
62,9919-YLNNG,0.6078366205040765
63,0318-ZOPWS,0.026419459591616276
64,4445-ZJNMU,0.7654519435316811
65,4808-YNLEU,0.3340596417954368
66,1862-QRWPE,0.026419459591616276
67,2796-NNUFI,0.026419459591616276
68,3016-KSVCP,0.5147464443363762
69,4767-HZZHQ,0.1415514300728277
70,2424-WVHPL,0.8439288401914458
71,7233-PAHHL,0.07301340465208073
72,6067-NGCEU,0.4174278180281346
73,9848-JQJTX,0.19875446210143322
74,9803-FTJCG,0.2795379131445486
